sequence_number,Address_US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update,1st_update,Web_order,Gender,Address_res,Purchase,Spending
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,1,0,1,1,128
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3883,3914,0,0,0,1,127
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3215,3215,0,0,0,1,174
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1465,1465,0,0,1,1,192
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2943,2984,1,0,0,1,386
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1463,1486,0,0,1,1,174
26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2460,2732,1,0,0,1,189
29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,0,0,0,1,90
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2947,3171,1,0,0,1,352
44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,868,3138,1,0,1,1,639
49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1786,1822,0,0,0,1,41
53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,3573,1,0,0,1,1030
57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1856,2424,0,0,1,1,362
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2212,2212,0,0,0,1,95
66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1835,2926,1,0,0,1,80
71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3716,3716,0,0,1,1,298
79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2859,2859,1,0,0,1,161
82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2862,2906,0,0,0,1,129
84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3698,3698,1,0,0,1,98
86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2962,3243,1,0,0,1,132
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,841,1162,1,0,1,1,158
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,458,3944,1,0,0,1,248
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1269,1269,1,0,0,1,277
96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2548,2548,1,0,0,1,230
100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,822,1850,1,0,1,1,287
106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2807,2807,1,0,0,1,405
115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1128,3791,1,0,1,1,404
119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114
123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1154,1154,0,0,1,1,205
129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,785,814,1,0,0,1,206
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,617,3548,0,0,0,1,356
133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3009,3009,0,0,1,1,129
146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1109,1109,0,0,0,1,21
147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2268,3791,0,0,0,1,605
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1147,1147,1,0,0,1,164
149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2425,3914,0,0,0,1,130
150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2296,2296,0,0,0,1,161
152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1016,1030,1,0,0,1,451
159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3074,3145,1,0,0,1,163
164,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2632,2632,1,0,0,1,140
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3543,3556,0,0,0,1,129
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,969,974,0,0,1,1,43
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,364,364,1,0,0,1,249
178,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,1890,1,0,0,1,77
180,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2347,3276,0,0,0,1,219
182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3772,3822,1,0,0,1,149
183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3583,3622,1,0,0,1,140
187,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1689,1800,0,0,1,1,108
191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1906,3521,1,0,0,1,50
192,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2408,2408,1,0,0,1,54
194,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2947,2947,0,0,0,1,80
204,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,583,594,0,0,0,1,412
208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3270,3270,1,0,0,1,153
210,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1567,1567,1,0,0,1,32
211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2404,4036,1,0,0,1,187
212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,906,906,0,0,0,1,80
213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1577,1589,1,0,0,1,277
217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,511,1815,1,0,0,1,268
221,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2201,2558,0,0,0,1,164
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,583,1060,1,0,0,1,69
227,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2081,2081,1,0,1,1,130
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2541,2541,0,0,0,1,174
229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2205,3390,0,0,0,1,36
232,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2996,2996,1,0,0,1,184
233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1701,1701,0,0,0,1,110
235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2802,2834,1,0,0,1,130
236,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1946,1946,1,0,0,1,130
246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,772,772,0,0,0,1,80
247,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2194,2506,0,0,1,1,161
250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2080,2109,1,0,1,1,35
253,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,962,2905,0,0,0,1,141
260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,58,1,0,0,1,99
262,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2960,2999,0,0,0,1,130
263,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1882,3883,1,0,0,1,210
265,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2163,2228,0,0,0,1,107
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1683,1683,0,0,0,1,85
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,304,311,1,0,0,1,303
269,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1134,3566,1,0,0,1,271
270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1361,1361,0,0,0,1,1250
271,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1204,1262,0,0,0,1,81
272,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4065,4065,0,0,0,1,32
280,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1879,1953,0,0,0,1,164
282,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1786,1835,1,0,0,1,95
283,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1129,2348,0,0,0,1,280
284,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1899,2233,0,0,1,1,166
286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1162,1162,1,0,1,1,164
288,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2478,2478,0,0,0,1,136
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1130,1147,0,0,0,1,309
292,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2891,3166,1,0,1,1,143
293,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2599,2599,1,0,0,1,130
297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,283,640,0,0,0,1,405
299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3025,3025,1,0,0,1,153
300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1175,2299,0,0,0,1,44
302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2767,2767,1,0,0,1,124
303,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1690,1690,0,0,0,1,90
304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1666,1666,0,0,0,1,165
305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2793,2793,1,0,0,1,170
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1290,1290,0,0,0,1,112
309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1626,1626,0,0,0,1,165
310,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1968,1968,1,0,0,1,255
311,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2305,3745,1,0,0,1,60
313,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,526,1779,1,0,1,1,427
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,408,2604,0,0,1,1,188
320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3398,3522,1,0,0,1,192
321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3479,3975,0,0,1,1,189
327,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1582,1603,1,0,1,1,3
331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2758,2758,1,0,0,1,161
341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,916,919,1,0,1,1,43
344,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1864,1864,0,0,0,1,30
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,295,302,0,0,0,1,164
355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1134,3464,0,0,1,1,314
369,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2016,2424,1,0,0,1,1353
371,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3146,3146,1,0,0,1,10
374,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3248,3248,0,0,1,1,132
378,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2201,2254,0,0,0,1,99
379,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2529,2529,1,0,0,1,35
381,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3283,3306,1,0,0,1,128
384,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,479,2578,0,0,0,1,459
388,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2072,2102,0,0,0,1,105
391,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3278,3278,1,0,0,1,153
394,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3583,4188,0,0,0,1,205
407,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114
409,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,906,906,1,0,1,1,141
410,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1498,1536,1,0,1,1,40
412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2744,2758,1,0,0,1,86
420,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,247,2361,0,0,0,1,324
424,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1122,3791,0,0,0,1,274
425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1137,3125,0,0,1,1,287
428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,0,0,1,103
431,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,216,3125,1,0,0,1,134
437,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1130,1779,0,0,0,1,252
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1612,1612,0,0,0,1,43
439,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1568,2935,1,0,0,1,344
447,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2249,2249,0,0,0,1,54
450,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,2361,0,0,0,1,85
454,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2772,2772,1,0,0,1,135
455,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1261,2137,0,0,0,1,44
457,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3590,4005,1,0,0,1,116
458,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,3157,1,0,1,1,172
459,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1570,3746,1,0,0,1,104
461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2977,2978,0,0,0,1,70
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,583,1,0,0,1,271
467,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2991,2991,1,0,1,1,184
471,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,0,0,1,161
476,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2999,2999,1,0,0,1,34
481,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,301,1036,0,0,0,1,1249
487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,113,113,1,0,0,1,308
488,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1653,1934,1,0,1,1,192
492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1976,2129,0,0,0,1,43
493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,240,2900,0,0,1,1,588
494,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2481,3654,1,0,0,1,160
496,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2812,3944,0,0,0,1,183
498,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2052,2837,0,0,0,1,200
499,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2746,3047,1,0,1,1,182
511,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3020,3020,1,0,0,1,129
518,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3718,3718,0,0,0,1,98
519,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1379,1400,0,0,1,1,63
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,206,206,1,0,0,1,264
526,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1792,1792,1,0,0,1,167
528,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2607,2607,1,0,0,1,6
533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,17,1,0,0,1,94
541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1995,2009,1,0,1,1,243
545,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3027,3027,1,0,0,1,96
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,519,1890,1,0,0,1,585
555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2142,2145,0,0,1,1,174
556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,597,597,1,0,0,1,240
559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1168,1168,1,0,0,1,40
562,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1995,2024,1,0,1,1,117
567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2872,3312,1,0,0,1,122
568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1795,1795,0,0,0,1,230
569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,581,581,1,0,0,1,331
578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1646,1717,1,0,1,1,130
579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2564,2564,0,0,0,1,130
580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3374,3374,1,0,1,1,128
582,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1134,3125,1,0,0,1,406
586,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3642,3642,0,0,0,1,129
587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,260,1038,0,0,1,1,135
588,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3914,4005,0,0,1,1,581
589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3521,3521,0,0,0,1,53
590,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1850,1899,0,0,0,1,35
592,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2257,2257,1,0,0,1,91
597,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2445,2445,1,0,1,1,35
602,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3199,3199,1,0,0,1,159
603,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2781,2781,1,0,0,1,130
612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2962,3131,0,0,0,1,136
618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,520,3944,1,0,0,1,1195
621,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1491,1491,0,0,0,1,57
623,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,717,717,1,0,0,1,30
624,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3740,3760,0,0,0,1,98
627,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3213,3222,1,0,1,1,34
628,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1554,1554,0,0,0,1,277
649,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3381,3381,1,0,0,1,98
650,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3158,3158,0,0,0,1,34
665,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,490,2017,1,0,0,1,276
667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2487,2487,1,0,0,1,163
676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1017,1017,0,0,0,1,197
681,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2807,3683,1,0,1,1,239
682,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3041,3041,1,0,0,1,30
687,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2723,2752,0,0,0,1,161
691,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,709,709,1,0,0,1,160
693,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1673,1673,1,0,0,1,129
696,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1248,1970,0,0,1,1,202
697,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3883,3883,1,0,0,1,97
703,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2941,2968,0,0,0,1,285
708,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2466,3283,1,0,0,1,188
712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1563,1793,0,0,0,1,160
716,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,465,2438,1,0,1,1,260
729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4036,4036,0,0,0,1,65
733,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,2039,1,0,0,1,193
734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1498,1512,1,0,1,1,344
739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1436,1499,1,0,1,1,192
740,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1625,1661,0,0,0,1,169
744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1130,3664,0,0,0,1,274
745,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3583,3768,0,0,0,1,100
750,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,567,3883,1,0,1,1,410
754,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4157,4188,1,0,0,1,33
755,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3436,3458,0,0,0,1,98
761,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3570,3613,1,0,0,1,98
765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1442,1583,0,0,1,1,79
775,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1991,2004,0,0,0,1,103
777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,822,1091,1,0,0,1,71
783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1710,1752,0,0,1,1,167
816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2571,2702,0,0,0,1,174
826,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,807,2758,1,0,0,1,114
830,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,218,2278,1,0,0,1,581
840,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1618,1654,1,0,1,1,40
843,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3573,4036,0,0,0,1,440
846,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1277,1277,1,0,0,1,164
855,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2975,2984,0,0,0,1,160
856,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,610,2402,0,0,1,1,317
863,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3822,3822,1,0,0,1,65
875,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2438,3768,1,0,1,1,227
882,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2418,2436,0,0,0,1,263
887,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1780,1792,1,0,1,1,130
894,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1465,2138,0,0,0,1,228
895,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,822,3019,0,0,0,1,421
896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,216,651,1,0,0,1,43
898,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2544,2544,1,0,0,1,130
902,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2508,2508,0,0,0,1,9
905,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1030,3269,1,0,0,1,819
906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3578,3746,1,0,1,1,130
909,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2962,3250,0,0,0,1,68
915,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2527,3758,0,0,0,1,10
919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,281,4005,1,0,0,1,1443
923,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2814,2921,0,0,0,1,162
924,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2107,2107,1,0,0,1,130
929,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2842,3883,1,0,0,1,1393
937,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2053,2053,0,0,0,1,345
